State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,East Godavari,2023-07-13,2023,07,11.5065864513,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-18,2023,07,13.5747561027,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-19,2023,07,25.5860238601,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-20,2023,07,19.400616834,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-29,2023,07,0.331567531,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-08-08,2023,08,0.0111541236,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-08-15,2023,08,2.3673862059,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-08-30,2023,08,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-08-31,2023,08,0.3819231879,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-09-11,2023,09,3.1566426242,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-09-12,2023,09,6.3371558766,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-09-19,2023,09,1.9850794995,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-09-20,2023,09,1.1734131835,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-10-04,2023,10,3.8209898789,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-10-11,2023,10,0.3284514112,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-10-13,2023,10,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-10-15,2023,10,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-10-17,2023,10,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-10-23,2023,10,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-10-26,2023,10,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-10-27,2023,10,0.1021790143,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-11-01,2023,11,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-11-05,2023,11,2.0026640083,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-11-08,2023,11,2.9420827283,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-11-11,2023,11,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-11-13,2023,11,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-11-15,2023,11,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-11-17,2023,11,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-11-19,2023,11,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-11-22,2023,11,1.4135686638,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-11-25,2023,11,2.7906719989,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-11-26,2023,11,0.0136490803,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-11-27,2023,11,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-12-09,2023,12,0.0317760172,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-12-12,2023,12,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-12-26,2023,12,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-12-31,2023,12,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-01-01,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-01-11,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-01-14,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-01-15,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-01-17,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-01-22,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-01-26,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-02-07,2023,02,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-02-11,2023,02,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-02-12,2023,02,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-02-17,2023,02,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-02-18,2023,02,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-02-21,2023,02,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-03-13,2023,03,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-03-20,2023,03,3.4997353885,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-03-25,2023,03,0.1814531897,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-03-26,2023,03,4.9061630606,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-03-28,2023,03,1.5776932888,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-03-31,2023,03,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-04-02,2023,04,0.254499819,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-04-12,2023,04,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-04-27,2023,04,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-04-29,2023,04,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-04-30,2023,04,8.6098517188,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-05-07,2023,05,1.8680840349,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-05-09,2023,05,0.0006182138,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-05-11,2023,05,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-05-13,2023,05,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-05-14,2023,05,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-05-31,2023,05,12.1299517802,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-06-25,2023,06,18.3566802072,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-06-26,2023,06,2.8867835494,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-06-27,2023,06,0.8271255144,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-06-30,2023,06,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-01,2023,07,0.0099604666,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-03,2023,07,1.0140122158,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-07,2023,07,3.230010073,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-09,2023,07,0.5144132486,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-13,2023,07,7.8141078054,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-25,2023,07,24.1818448415,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-08-03,2023,08,0.0148041624,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-08-11,2023,08,4.8794277853,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-08-27,2023,08,1.2317715246,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-09-05,2023,09,3.0609688346,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-09-07,2023,09,5.076482065,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-09-12,2023,09,1.9640483292,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-09-13,2023,09,1.3979255158,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-09-16,2023,09,0.8304432512,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-09-28,2023,09,2.6243890981,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-09-30,2023,09,14.4010994635,IMD GRID MODEL
